主轴转速: 7922	开始记录accel数据...	
	采集数据: X = 0.26476, Y = 0.069611, Z = -0.29075	
主轴转速: 8034	t = 306.4 s, 稳定, fc = NaN Hz, Xf = 0.1128, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.080826, Y = 0.61903, Z = -0.56644	
主轴转速: 7990	t = 306.5 s, 稳定, fc = NaN Hz, Xf = 0.1177, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.1945, Y = -0.16115, Z = 0.025402	
主轴转速: 7990	t = 306.6 s, 稳定, fc = NaN Hz, Xf = 0.1143, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.10634, Y = 0.014493, Z = 0.18927	
主轴转速: 7955	t = 306.7 s, 稳定, fc = NaN Hz, Xf = 0.1133, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.105, Y = -0.30331, Z = -0.17704	
主轴转速: 8053	t = 306.8 s, 稳定, fc = NaN Hz, Xf = 0.1109, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.064935, Y = 0.19026, Z = -0.14511	
主轴转速: 8053	t = 306.9 s, 稳定, fc = NaN Hz, Xf = 0.1089, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.079364, Y = 0.14592, Z = -0.075818	
主轴转速: 7992	t = 307.0 s, 稳定, fc = NaN Hz, Xf = 0.1120, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.44657, Y = -0.013645, Z = 0.25039	
主轴转速: 7992	t = 307.1 s, 稳定, fc = NaN Hz, Xf = 0.1120, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.25648, Y = -0.088618, Z = -0.24718	
主轴转速: 7924	t = 307.2 s, 稳定, fc = NaN Hz, Xf = 0.1112, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.31475, Y = 0.11176, Z = 0.062087	
主轴转速: 7924	t = 307.3 s, 稳定, fc = NaN Hz, Xf = 0.1125, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.053793, Y = 0.55167, Z = -0.098	
主轴转速: 8053	t = 307.4 s, 稳定, fc = NaN Hz, Xf = 0.1099, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.16728, Y = 0.15372, Z = -0.023228	
主轴转速: 8053	t = 307.5 s, 稳定, fc = NaN Hz, Xf = 0.1127, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.065665, Y = 0.050792, Z = -0.1228	
主轴转速: 7964	t = 307.6 s, 稳定, fc = NaN Hz, Xf = 0.1113, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.15231, Y = 0.030085, Z = 0.1808	
主轴转速: 7964	t = 307.7 s, 稳定, fc = NaN Hz, Xf = 0.1103, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.29612, Y = 0.18643, Z = 0.44308	
主轴转速: 8030	t = 307.8 s, 稳定, fc = NaN Hz, Xf = 0.1117, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.038327, Y = -0.0029865, Z = 0.31535	
主轴转速: 8030	t = 307.9 s, 稳定, fc = NaN Hz, Xf = 0.1116, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.044295, Y = 0.14507, Z = -0.12213	
主轴转速: 8009	t = 308.0 s, 稳定, fc = NaN Hz, Xf = 0.1100, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.20302, Y = -0.2988, Z = 0.37958	
主轴转速: 8009	t = 308.1 s, 稳定, fc = NaN Hz, Xf = 0.1094, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0036837, Y = -0.043183, Z = 0.09603	
主轴转速: 7988	t = 308.2 s, 稳定, fc = NaN Hz, Xf = 0.1096, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.030717, Y = -0.097023, Z = 0.37464	
主轴转速: 7992	t = 308.3 s, 稳定, fc = NaN Hz, Xf = 0.1044, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.049835, Y = 0.2276, Z = 0.057455	
主轴转速: 7992	t = 308.4 s, 稳定, fc = NaN Hz, Xf = 0.1093, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.20875, Y = -0.27578, Z = 0.29262	
主轴转速: 7941	t = 308.5 s, 稳定, fc = NaN Hz, Xf = 0.1095, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.23852, Y = -0.036362, Z = -0.19581	
主轴转速: 7941	t = 308.6 s, 稳定, fc = NaN Hz, Xf = 0.1121, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.0089196, Y = 0.061207, Z = -0.067104	
主轴转速: 7952	t = 308.7 s, 稳定, fc = NaN Hz, Xf = 0.1107, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0030749, Y = -0.065596, Z = 0.124	
主轴转速: 7952	t = 308.8 s, 稳定, fc = NaN Hz, Xf = 0.1101, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.44614, Y = -0.15111, Z = 0.14691	
主轴转速: 7985	t = 308.9 s, 稳定, fc = NaN Hz, Xf = 0.1101, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.23572, Y = -0.21317, Z = -0.093673	
主轴转速: 7985	t = 309.0 s, 稳定, fc = NaN Hz, Xf = 0.1116, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.063169, Y = 0.49119, Z = -0.58746	
主轴转速: 7985	t = 309.1 s, 稳定, fc = NaN Hz, Xf = 0.1091, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.071511, Y = -0.36537, Z = -0.088737	
主轴转速: 7985	t = 309.2 s, 稳定, fc = NaN Hz, Xf = 0.1107, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.32906, Y = 0.050975, Z = 0.072385	
主轴转速: 8051	t = 309.3 s, 稳定, fc = NaN Hz, Xf = 0.1129, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.25539, Y = -0.34917, Z = 0.0015135	
主轴转速: 8051	t = 309.4 s, 稳定, fc = NaN Hz, Xf = 0.1102, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.22835, Y = 0.5415, Z = -0.58271	
主轴转速: 8032	t = 309.5 s, 稳定, fc = NaN Hz, Xf = 0.1090, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.25959, Y = -0.16773, Z = 0.10968	
主轴转速: 8032	t = 309.6 s, 稳定, fc = NaN Hz, Xf = 0.1124, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.058907, Y = 0.06279, Z = -0.27052	
主轴转速: 7971	t = 309.7 s, 稳定, fc = NaN Hz, Xf = 0.1107, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.0078237, Y = -0.21286, Z = -0.28691	
主轴转速: 7964	t = 309.8 s, 稳定, fc = NaN Hz, Xf = 0.1102, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.44438, Y = 0.21864, Z = -0.071796	
主轴转速: 7964	t = 309.9 s, 稳定, fc = NaN Hz, Xf = 0.1111, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.25672, Y = 0.25988, Z = 0.0018791	
主轴转速: 7969	t = 310.0 s, 稳定, fc = NaN Hz, Xf = 0.1091, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.26062, Y = -0.060115, Z = 0.23741	
主轴转速: 7969	t = 310.1 s, 稳定, fc = NaN Hz, Xf = 0.1120, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.065726, Y = 0.13904, Z = -0.36467	
主轴转速: 8032	t = 310.2 s, 稳定, fc = NaN Hz, Xf = 0.1086, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.14981, Y = -0.050675, Z = 0.33064	
主轴转速: 8032	t = 310.3 s, 稳定, fc = NaN Hz, Xf = 0.1107, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.12144, Y = 0.30957, Z = 0.32455	
主轴转速: 7969	t = 310.4 s, 稳定, fc = NaN Hz, Xf = 0.1086, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.028099, Y = -0.0045091, Z = 0.46629	
主轴转速: 7969	t = 310.5 s, 稳定, fc = NaN Hz, Xf = 0.1099, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.046791, Y = 0.30038, Z = -0.26954	
主轴转速: 7990	t = 310.6 s, 稳定, fc = NaN Hz, Xf = 0.1106, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.023045, Y = -0.25008, Z = 0.17373	
主轴转速: 7990	t = 310.7 s, 稳定, fc = NaN Hz, Xf = 0.1108, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.043442, Y = 0.079904, Z = 0.38226	
主轴转速: 7955	t = 310.8 s, 稳定, fc = NaN Hz, Xf = 0.1109, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.24217, Y = 0.008829, Z = 0.059345	
主轴转速: 7955	t = 310.9 s, 稳定, fc = NaN Hz, Xf = 0.1108, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.018783, Y = -0.010295, Z = -0.13219	
主轴转速: 8034	t = 311.0 s, 稳定, fc = NaN Hz, Xf = 0.1080, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.04746, Y = -0.15701, Z = 0.124	
主轴转速: 8034	t = 311.1 s, 稳定, fc = NaN Hz, Xf = 0.1110, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.090385, Y = -0.18765, Z = 0.38092	
主轴转速: 7966	t = 311.2 s, 稳定, fc = NaN Hz, Xf = 0.1102, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.11255, Y = 0.25074, Z = -0.21427	
主轴转速: 7952	t = 311.3 s, 稳定, fc = NaN Hz, Xf = 0.1098, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.051844, Y = -0.18814, Z = 0.29731	
主轴转速: 7952	t = 311.4 s, 稳定, fc = NaN Hz, Xf = 0.1107, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.1313, Y = 0.1053, Z = -0.026579	
主轴转速: 8030	t = 311.5 s, 稳定, fc = NaN Hz, Xf = 0.1110, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.12083, Y = -0.40282, Z = 0.38726	
主轴转速: 8030	t = 311.6 s, 稳定, fc = NaN Hz, Xf = 0.1109, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.047947, Y = 0.11432, Z = -0.061193	
主轴转速: 7959	t = 311.7 s, 稳定, fc = NaN Hz, Xf = 0.1097, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.16801, Y = 0.087639, Z = -0.20135	
主轴转速: 7959	t = 311.8 s, 稳定, fc = NaN Hz, Xf = 0.1114, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.091785, Y = -0.059079, Z = 0.096639	
主轴转速: 7948	t = 311.9 s, 稳定, fc = NaN Hz, Xf = 0.1115, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.40602, Y = -0.13722, Z = 0.077931	
主轴转速: 7948	t = 312.0 s, 稳定, fc = NaN Hz, Xf = 0.1106, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.039484, Y = -0.31731, Z = -0.01299	
主轴转速: 8051	t = 312.1 s, 稳定, fc = NaN Hz, Xf = 0.1089, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.16284, Y = 0.4675, Z = -0.4473	
主轴转速: 8051	t = 312.2 s, 稳定, fc = NaN Hz, Xf = 0.1091, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.36626, Y = -0.32194, Z = -0.12573	
主轴转速: 7995	t = 312.3 s, 稳定, fc = NaN Hz, Xf = 0.1079, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.34501, Y = 0.086604, Z = -0.0018381	
主轴转速: 7995	t = 312.4 s, 稳定, fc = NaN Hz, Xf = 0.1086, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.006606, Y = -0.23668, Z = -0.3072	
主轴转速: 7966	t = 312.5 s, 稳定, fc = NaN Hz, Xf = 0.1075, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.2398, Y = 0.48827, Z = -0.15199	
主轴转速: 7966	t = 312.6 s, 稳定, fc = NaN Hz, Xf = 0.1081, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.10877, Y = 0.026796, Z = -0.072771	
主轴转速: 7990	t = 312.7 s, 稳定, fc = NaN Hz, Xf = 0.1115, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.28144, Y = 0.052132, Z = 0.014189	
主轴转速: 7985	t = 312.8 s, 稳定, fc = NaN Hz, Xf = 0.0959, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.16759, Y = -0.032221, Z = -0.50586	
主轴转速: 7985	t = 312.9 s, 稳定, fc = NaN Hz, Xf = 0.1019, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.28571, Y = -0.078508, Z = 0.040758	
主轴转速: 8006	t = 313.0 s, 稳定, fc = NaN Hz, Xf = 0.0987, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.13757, Y = 0.13886, Z = -0.18124	
主轴转速: 8006	t = 313.1 s, 稳定, fc = NaN Hz, Xf = 0.1103, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.37984, Y = -0.17997, Z = 0.10267	
主轴转速: 8053	t = 313.2 s, 稳定, fc = NaN Hz, Xf = 0.1099, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.15596, Y = 0.25927, Z = -0.2523	
主轴转速: 8053	t = 313.3 s, 稳定, fc = NaN Hz, Xf = 0.1103, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.17946, Y = -0.10567, Z = -0.050102	
主轴转速: 7959	t = 313.4 s, 稳定, fc = NaN Hz, Xf = 0.1099, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.067188, Y = 0.54192, Z = 0.3017	
主轴转速: 7959	t = 313.5 s, 稳定, fc = NaN Hz, Xf = 0.1107, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.14908, Y = -0.07595, Z = 0.25886	
主轴转速: 7931	t = 313.6 s, 稳定, fc = NaN Hz, Xf = 0.0940, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.31779, Y = 0.16974, Z = -0.09934	
主轴转速: 7931	t = 313.7 s, 稳定, fc = NaN Hz, Xf = 0.0995, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.17934, Y = -0.13497, Z = 0.089631	
主轴转速: 7959	t = 313.8 s, 稳定, fc = NaN Hz, Xf = 0.1094, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.14384, Y = 0.17327, Z = 0.26489	
主轴转速: 7959	t = 313.9 s, 稳定, fc = NaN Hz, Xf = 0.1089, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.078208, Y = -0.7431, Z = 0.55667	
主轴转速: 8002	t = 314.0 s, 稳定, fc = NaN Hz, Xf = 0.1115, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.080643, Y = 0.16474, Z = -0.073868	
主轴转速: 8002	t = 314.1 s, 稳定, fc = NaN Hz, Xf = 0.1096, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.18476, Y = -0.22632, Z = 0.1666	
主轴转速: 8002	t = 314.2 s, 稳定, fc = NaN Hz, Xf = 0.1101, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.19212, Y = -0.073209, Z = 0.06812	
主轴转速: 8046	t = 314.3 s, 稳定, fc = NaN Hz, Xf = 0.1095, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.024202, Y = 0.25226, Z = -0.20873	
主轴转速: 8046	t = 314.4 s, 稳定, fc = NaN Hz, Xf = 0.1105, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.14561, Y = 0.071804, Z = 0.037894	
主轴转速: 8002	t = 314.5 s, 稳定, fc = NaN Hz, Xf = 0.1092, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.37503, Y = -0.16603, Z = 0.34667	
主轴转速: 8002	t = 314.6 s, 稳定, fc = NaN Hz, Xf = 0.0894, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.16442, Y = -0.21384, Z = 0.0061449	
主轴转速: 7983	t = 314.7 s, 稳定, fc = NaN Hz, Xf = 0.1052, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.22165, Y = 0.20811, Z = -0.55632	
主轴转速: 7983	t = 314.8 s, 稳定, fc = NaN Hz, Xf = 0.1024, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.031874, Y = -0.030333, Z = 0.014737	
主轴转速: 7980	t = 314.9 s, 稳定, fc = NaN Hz, Xf = 0.0986, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.28686, Y = 0.13399, Z = 0.21681	
主轴转速: 7980	t = 315.0 s, 稳定, fc = NaN Hz, Xf = 0.1101, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.047034, Y = -0.10768, Z = -0.095014	
主轴转速: 7969	t = 315.1 s, 稳定, fc = NaN Hz, Xf = 0.1092, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.022254, Y = 0.48206, Z = -0.46686	
主轴转速: 7969	t = 315.2 s, 稳定, fc = NaN Hz, Xf = 0.0889, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.1727, Y = -0.15312, Z = -0.19757	
主轴转速: 7990	t = 315.3 s, 稳定, fc = NaN Hz, Xf = 0.1000, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.16966, Y = 0.19075, Z = 0.016565	
主轴转速: 7990	t = 315.4 s, 稳定, fc = NaN Hz, Xf = 0.1110, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.33673, Y = 0.0020686, Z = -0.35943	
主轴转速: 7992	t = 315.5 s, 稳定, fc = NaN Hz, Xf = 0.1080, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.10421, Y = 0.37024, Z = -0.198	
主轴转速: 7992	t = 315.6 s, 稳定, fc = NaN Hz, Xf = 0.1096, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.24351, Y = 0.44277, Z = -0.20397	
主轴转速: 8041	t = 315.7 s, 稳定, fc = NaN Hz, Xf = 0.1099, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.16619, Y = -0.16146, Z = 0.073787	
主轴转速: 7985	t = 315.8 s, 稳定, fc = NaN Hz, Xf = 0.1105, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.26214, Y = 0.12869, Z = -0.34108	
主轴转速: 7985	t = 315.9 s, 稳定, fc = NaN Hz, Xf = 0.1095, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.58587, Y = -0.13564, Z = 0.13229	
主轴转速: 7985	t = 316.0 s, 稳定, fc = NaN Hz, Xf = 0.1109, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.14336, Y = 0.4256, Z = 0.23515	
主轴转速: 7985	t = 316.1 s, 稳定, fc = NaN Hz, Xf = 0.1101, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.067187, Y = -0.094891, Z = 0.38348	
主轴转速: 7983	t = 316.2 s, 稳定, fc = NaN Hz, Xf = 0.1111, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.20254, Y = 0.1536, Z = -0.29636	
主轴转速: 7983	t = 316.3 s, 稳定, fc = NaN Hz, Xf = 0.1111, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.11949, Y = -0.18594, Z = 0.065256	
主轴转速: 7948	t = 316.4 s, 稳定, fc = NaN Hz, Xf = 0.1100, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.12972, Y = -0.011087, Z = -0.012442	
主轴转速: 7948	t = 316.5 s, 稳定, fc = NaN Hz, Xf = 0.1094, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.058602, Y = 0.1176, Z = 0.36361	
主轴转速: 7917	t = 316.6 s, 稳定, fc = NaN Hz, Xf = 0.1097, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.20211, Y = -0.11907, Z = 0.042099	
主轴转速: 7917	t = 316.7 s, 稳定, fc = NaN Hz, Xf = 0.1133, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.048374, Y = -0.012731, Z = 0.060685	
主轴转速: 7964	t = 316.8 s, 稳定, fc = NaN Hz, Xf = 0.1096, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.34239, Y = -0.39673, Z = 0.40852	
主轴转速: 7964	t = 316.9 s, 稳定, fc = NaN Hz, Xf = 0.1084, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.1604, Y = 0.15031, Z = -0.28752	
主轴转速: 7955	t = 317.0 s, 稳定, fc = NaN Hz, Xf = 0.1274, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.044355, Y = -0.14569, Z = 0.04545	
主轴转速: 7955	t = 317.1 s, 稳定, fc = NaN Hz, Xf = 0.1102, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.47494, Y = 0.13667, Z = 0.10249	
主轴转速: 7952	t = 317.2 s, 稳定, fc = NaN Hz, Xf = 0.1102, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.10731, Y = -0.38687, Z = 0.31316	
