开始记录数据...	开始记录数据...	程序停止
主轴数据: 3012	t = 30.8 s, 稳定, fc = NaN Hz, Xf = 0.0723, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3012	采集数据: X = -0.037292, Y = 0.028866, Z = 0.14752	
主轴数据: 3005	t = 30.9 s, 稳定, fc = NaN Hz, Xf = 0.0724, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3005	采集数据: X = 0.063108, Y = 0.039768, Z = -0.18795	
主轴数据: 2995	t = 31.0 s, 稳定, fc = NaN Hz, Xf = 0.0727, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2995	采集数据: X = 0.1931, Y = 0.01297, Z = -0.096232	
主轴数据: 3007	t = 31.1 s, 稳定, fc = NaN Hz, Xf = 0.0745, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 3007	采集数据: X = -0.010564, Y = 0.162, Z = -0.07204	
主轴数据: 3014	t = 31.2 s, 稳定, fc = NaN Hz, Xf = 0.0722, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3009	采集数据: X = 0.01994, Y = -0.096353, Z = -0.1253	
主轴数据: 3009	t = 31.3 s, 稳定, fc = NaN Hz, Xf = 0.0721, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3021	采集数据: X = -0.095256, Y = -0.068519, Z = 0.074092	
主轴数据: 3021	t = 31.4 s, 稳定, fc = NaN Hz, Xf = 0.0398, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3002	采集数据: X = 0.021523, Y = 0.065287, Z = 0.087255	
主轴数据: 3002	t = 31.5 s, 稳定, fc = NaN Hz, Xf = 0.0398, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = 0.1917, Y = 0.098602, Z = -0.1554	
主轴数据: 3016	t = 31.6 s, 稳定, fc = NaN Hz, Xf = 0.0722, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 2991	采集数据: X = 0.22506, Y = 0.052924, Z = -0.053392	
主轴数据: 2991	t = 31.7 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2998	采集数据: X = -0.014521, Y = 0.13253, Z = -0.041144	
主轴数据: 2998	t = 31.8 s, 稳定, fc = NaN Hz, Xf = 0.0711, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 3021	采集数据: X = 0.018418, Y = -0.080883, Z = -0.12829	
主轴数据: 3000	t = 31.9 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3000	采集数据: X = -0.12198, Y = -0.099154, Z = 0.051971	
主轴数据: 3012	t = 32.0 s, 稳定, fc = NaN Hz, Xf = 0.0738, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3012	采集数据: X = 0.027855, Y = 0.012605, Z = 0.095725	
主轴数据: 3014	t = 32.1 s, 稳定, fc = NaN Hz, Xf = 0.0736, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3014	采集数据: X = 0.15066, Y = 0.11651, Z = -0.1501	
主轴数据: 3019	t = 32.2 s, 稳定, fc = NaN Hz, Xf = 0.0725, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = 0.036014, Y = 0.11961, Z = 0.016565	
主轴数据: 3002	t = 32.3 s, 稳定, fc = NaN Hz, Xf = 0.0751, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3002	采集数据: X = 0.029682, Y = 0.062729, Z = -0.058024	
主轴数据: 2995	t = 32.4 s, 稳定, fc = NaN Hz, Xf = 0.0705, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2988	采集数据: X = -0.13708, Y = -0.222, Z = -0.082704	
主轴数据: 2988	t = 32.5 s, 稳定, fc = NaN Hz, Xf = 0.0722, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2986	采集数据: X = -0.10536, Y = 0.011387, Z = 0.04283	
主轴数据: 2986	t = 32.6 s, 稳定, fc = NaN Hz, Xf = 0.0726, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = 0.078939, Y = 0.032764, Z = 0.11535	
主轴数据: 3019	t = 32.7 s, 稳定, fc = NaN Hz, Xf = 0.0717, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = 0.12083, Y = 0.07826, Z = -0.091296	
主轴数据: 3016	t = 32.8 s, 稳定, fc = NaN Hz, Xf = 0.0734, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3021	采集数据: X = -0.063595, Y = 0.12619, Z = 0.043439	
主轴数据: 3021	t = 32.9 s, 稳定, fc = NaN Hz, Xf = 0.0684, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2988	采集数据: X = 0.15291, Y = 0.12838, Z = 0.0033417	
主轴数据: 2988	t = 33.0 s, 稳定, fc = NaN Hz, Xf = 0.0719, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2998	采集数据: X = -0.099579, Y = -0.025582, Z = -0.10312	
主轴数据: 2998	t = 33.1 s, 稳定, fc = NaN Hz, Xf = 0.0745, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 2998	采集数据: X = -0.069197, Y = -0.0040827, Z = 0.016383	
主轴数据: 3009	t = 33.2 s, 稳定, fc = NaN Hz, Xf = 0.0740, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 3009	采集数据: X = -0.022315, Y = 0.075154, Z = 0.028205	
主轴数据: 2988	t = 33.3 s, 稳定, fc = NaN Hz, Xf = 0.0715, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2988	采集数据: X = 0.064509, Y = 0.060841, Z = -0.079962	
主轴数据: 3002	t = 33.4 s, 稳定, fc = NaN Hz, Xf = 0.0728, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3002	采集数据: X = -0.085088, Y = 0.098419, Z = 0.11352	
主轴数据: 3012	t = 33.5 s, 稳定, fc = NaN Hz, Xf = 0.0683, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3012	采集数据: X = 0.18409, Y = 0.11371, Z = 0.0091309	
主轴数据: 2986	t = 33.6 s, 稳定, fc = NaN Hz, Xf = 0.0750, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2986	采集数据: X = -0.071206, Y = -0.010173, Z = -0.038219	
主轴数据: 2995	t = 33.7 s, 稳定, fc = NaN Hz, Xf = 0.0729, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2995	采集数据: X = 0.049287, Y = -0.075523, Z = 0.020526	
主轴数据: 3014	t = 33.8 s, 稳定, fc = NaN Hz, Xf = 0.0710, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3014	采集数据: X = -0.029499, Y = 0.12053, Z = 0.045694	
主轴数据: 3014	t = 33.9 s, 稳定, fc = NaN Hz, Xf = 0.0725, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2995	采集数据: X = -0.039363, Y = 0.057492, Z = 0.010776	
主轴数据: 2995	t = 34.0 s, 稳定, fc = NaN Hz, Xf = 0.0736, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3000	采集数据: X = -0.039484, Y = 0.10347, Z = 0.21462	
主轴数据: 3000	t = 34.1 s, 稳定, fc = NaN Hz, Xf = 0.0717, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2995	采集数据: X = 0.21739, Y = 0.14306, Z = -0.020242	
主轴数据: 2995	t = 34.2 s, 稳定, fc = NaN Hz, Xf = 0.0736, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 2995	采集数据: X = -0.10609, Y = -0.024425, Z = -0.12128	
主轴数据: 2995	t = 34.3 s, 稳定, fc = NaN Hz, Xf = 0.0402, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 2991	采集数据: X = -0.030169, Y = -0.0068843, Z = 0.11157	
主轴数据: 3012	t = 34.4 s, 稳定, fc = NaN Hz, Xf = 0.0719, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 3012	采集数据: X = -0.1478, Y = 0.079173, Z = 0.050813	
主轴数据: 3005	t = 34.5 s, 稳定, fc = NaN Hz, Xf = 0.0727, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3005	采集数据: X = -0.049348, Y = 0.014371, Z = 0.14521	
主轴数据: 3002	t = 34.6 s, 稳定, fc = NaN Hz, Xf = 0.0740, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3002	采集数据: X = 0.00063944, Y = 0.1053, Z = 0.20932	
主轴数据: 3002	t = 34.7 s, 稳定, fc = NaN Hz, Xf = 0.0715, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3002	采集数据: X = 0.1176, Y = 0.13441, Z = -0.10641	
主轴数据: 3019	t = 34.8 s, 稳定, fc = NaN Hz, Xf = 0.0723, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3019	采集数据: X = -0.082165, Y = 0.001155, Z = -0.093246	
主轴数据: 3000	t = 34.9 s, 稳定, fc = NaN Hz, Xf = 0.0737, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3000	采集数据: X = -0.10969, Y = -0.015289, Z = 0.17415	
主轴数据: 2995	t = 35.0 s, 稳定, fc = NaN Hz, Xf = 0.0728, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2988	采集数据: X = -0.16546, Y = 0.0052965, Z = 0.051422	
主轴数据: 2988	t = 35.1 s, 稳定, fc = NaN Hz, Xf = 0.0738, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = -0.031934, Y = -0.050553, Z = 0.1541	
主轴数据: 3016	t = 35.2 s, 稳定, fc = NaN Hz, Xf = 0.0724, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2993	采集数据: X = 0.029986, Y = 0.085507, Z = 0.1736	
主轴数据: 2993	t = 35.3 s, 稳定, fc = NaN Hz, Xf = 0.0740, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2995	采集数据: X = 0.034309, Y = 0.085568, Z = -0.1579	
主轴数据: 2995	t = 35.4 s, 稳定, fc = NaN Hz, Xf = 0.0743, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = 0.015069, Y = -0.060967, Z = -0.077829	
主轴数据: 3019	t = 35.5 s, 稳定, fc = NaN Hz, Xf = 0.0715, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = -0.16856, Y = 0.045432, Z = 0.13936	
主轴数据: 3016	t = 35.6 s, 稳定, fc = NaN Hz, Xf = 0.0708, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 3005	采集数据: X = -0.19925, Y = -0.021928, Z = 0.017723	
主轴数据: 3012	t = 35.7 s, 稳定, fc = NaN Hz, Xf = 0.0739, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3012	采集数据: X = -0.0172, Y = 0.0048702, Z = 0.16775	
主轴数据: 2986	t = 35.8 s, 稳定, fc = NaN Hz, Xf = 0.0703, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 2986	采集数据: X = 0.059212, Y = 0.18423, Z = 0.17056	
主轴数据: 3000	t = 35.9 s, 稳定, fc = NaN Hz, Xf = 0.0712, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3000	采集数据: X = 0.024933, Y = 0.048721, Z = -0.11263	
主轴数据: 3019	t = 36.0 s, 稳定, fc = NaN Hz, Xf = 0.0728, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = -0.08247, Y = -0.045559, Z = -0.050041	
主轴数据: 2995	t = 36.1 s, 稳定, fc = NaN Hz, Xf = 0.0733, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2995	采集数据: X = -0.25216, Y = 0.045798, Z = 0.13924	
主轴数据: 3012	t = 36.2 s, 稳定, fc = NaN Hz, Xf = 0.0725, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3012	采集数据: X = -0.074737, Y = -0.048665, Z = 0.032288	
主轴数据: 3014	t = 36.3 s, 稳定, fc = NaN Hz, Xf = 0.0726, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3000	采集数据: X = -0.035831, Y = 0.037576, Z = 0.20669	
主轴数据: 3000	t = 36.4 s, 稳定, fc = NaN Hz, Xf = 0.0714, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 3005	采集数据: X = 0.13337, Y = 0.23868, Z = 0.1371	
主轴数据: 3005	t = 36.5 s, 稳定, fc = NaN Hz, Xf = 0.0733, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 2995	采集数据: X = -0.0025266, Y = 0.017295, Z = -0.1022	
主轴数据: 2995	t = 36.6 s, 稳定, fc = NaN Hz, Xf = 0.0725, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3012	采集数据: X = -0.035161, Y = -0.031246, Z = 0.085853	
主轴数据: 3012	t = 36.7 s, 稳定, fc = NaN Hz, Xf = 0.0732, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 3014	采集数据: X = -0.25094, Y = -0.00036758, Z = 0.14405	
主轴数据: 3014	t = 36.8 s, 稳定, fc = NaN Hz, Xf = 0.0737, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3014	采集数据: X = -0.0069713, Y = -0.052014, Z = 0.096761	
主轴数据: 3014	t = 36.9 s, 稳定, fc = NaN Hz, Xf = 0.0738, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = -0.077233, Y = 0.04324, Z = 0.15642	
主轴数据: 2998	t = 37.0 s, 稳定, fc = NaN Hz, Xf = 0.0400, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2998	采集数据: X = 0.11681, Y = 0.1684, Z = -0.0020819	
主轴数据: 3021	t = 37.1 s, 稳定, fc = NaN Hz, Xf = 0.0406, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3021	采集数据: X = -0.086001, Y = -0.022841, Z = -0.08959	
主轴数据: 2991	t = 37.2 s, 稳定, fc = NaN Hz, Xf = 0.0731, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 2991	采集数据: X = -0.090994, Y = -0.05238, Z = 0.1304	
主轴数据: 3012	t = 37.3 s, 稳定, fc = NaN Hz, Xf = 0.0711, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3012	采集数据: X = -0.30142, Y = 0.00030236, Z = 0.12437	
主轴数据: 3005	t = 37.4 s, 稳定, fc = NaN Hz, Xf = 0.0753, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3005	采集数据: X = 0.08454, Y = -0.090384, Z = 0.049229	
主轴数据: 2998	t = 37.5 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 2998	采集数据: X = -0.048191, Y = 0.099637, Z = 0.077931	
主轴数据: 3019	t = 37.6 s, 稳定, fc = NaN Hz, Xf = 0.0719, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3007	采集数据: X = 0.14573, Y = 0.092451, Z = -0.043277	
主轴数据: 3007	t = 37.7 s, 稳定, fc = NaN Hz, Xf = 0.0710, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 3012	采集数据: X = -0.012695, Y = 0.075093, Z = -0.072771	
主轴数据: 3012	t = 37.8 s, 稳定, fc = NaN Hz, Xf = 0.0720, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3012	采集数据: X = -0.085392, Y = -0.058836, Z = 0.087133	
主轴数据: 3012	t = 37.9 s, 稳定, fc = NaN Hz, Xf = 0.0731, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3002	采集数据: X = -0.082165, Y = -0.026435, Z = 0.023391	
主轴数据: 3002	t = 38.0 s, 稳定, fc = NaN Hz, Xf = 0.0731, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 2998	采集数据: X = 0.13367, Y = -0.084416, Z = -0.12475	
主轴数据: 2998	t = 38.1 s, 稳定, fc = NaN Hz, Xf = 0.0725, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3007	采集数据: X = -0.20126, Y = 0.10323, Z = 0.13948	
主轴数据: 3007	t = 38.2 s, 稳定, fc = NaN Hz, Xf = 0.0744, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3002	采集数据: X = -0.018844, Y = 0.033008, Z = 0.093348	
主轴数据: 3002	t = 38.3 s, 稳定, fc = NaN Hz, Xf = 0.0750, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3002	采集数据: X = -0.0083717, Y = 0.033739, Z = -0.19471	
主轴数据: 3002	t = 38.4 s, 稳定, fc = NaN Hz, Xf = 0.0732, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3002	采集数据: X = -0.10615, Y = -0.036058, Z = 0.051301	
主轴数据: 3005	t = 38.5 s, 稳定, fc = NaN Hz, Xf = 0.0723, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3005	采集数据: X = 0.03571, Y = -0.036118, Z = -0.068018	
主轴数据: 3021	t = 38.6 s, 稳定, fc = NaN Hz, Xf = 0.0731, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3021	采集数据: X = -0.0488, Y = -0.063404, Z = -0.037853	
主轴数据: 3009	t = 38.7 s, 稳定, fc = NaN Hz, Xf = 0.0717, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3009	采集数据: X = -0.10938, Y = 0.071378, Z = 0.11254	
主轴数据: 3007	t = 38.8 s, 稳定, fc = NaN Hz, Xf = 0.0735, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3007	采集数据: X = 0.035771, Y = 0.022411, Z = 0.059954	
主轴数据: 2991	t = 38.9 s, 稳定, fc = NaN Hz, Xf = 0.0730, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = -0.063352, Y = -0.039651, Z = -0.12451	
主轴数据: 2988	t = 39.0 s, 稳定, fc = NaN Hz, Xf = 0.0722, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3000	采集数据: X = -0.015374, Y = -0.12004, Z = 0.073665	
主轴数据: 3000	t = 39.1 s, 稳定, fc = NaN Hz, Xf = 0.0725, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3021	采集数据: X = 0.14561, Y = 0.055299, Z = -0.11969	
主轴数据: 3021	t = 39.2 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3012	采集数据: X = -0.073093, Y = -0.088252, Z = -0.058633	
主轴数据: 3012	t = 39.3 s, 稳定, fc = NaN Hz, Xf = 0.0715, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = -0.018722, Y = -0.016203, Z = 0.13393	
主轴数据: 2991	t = 39.4 s, 稳定, fc = NaN Hz, Xf = 0.0722, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2998	采集数据: X = 0.02128, Y = 0.053959, Z = 0.010654	
主轴数据: 2998	t = 39.5 s, 稳定, fc = NaN Hz, Xf = 0.0727, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2984	采集数据: X = 0.10366, Y = -0.063708, Z = -0.085446	
主轴数据: 2984	t = 39.6 s, 稳定, fc = NaN Hz, Xf = 0.0715, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3021	采集数据: X = -0.1246, Y = -0.071199, Z = 0.088656	
主轴数据: 3002	t = 39.7 s, 稳定, fc = NaN Hz, Xf = 0.0714, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3002	采集数据: X = 0.27944, Y = -0.0076152, Z = -0.16418	
主轴数据: 3019	t = 39.8 s, 稳定, fc = NaN Hz, Xf = 0.0707, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3019	采集数据: X = -0.057506, Y = -0.058105, Z = -0.10245	
主轴数据: 3002	t = 39.9 s, 稳定, fc = NaN Hz, Xf = 0.0705, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3002	采集数据: X = 0.05976, Y = 0.012727, Z = 0.11998	
主轴数据: 3016	t = 40.0 s, 稳定, fc = NaN Hz, Xf = 0.0729, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = 0.03504, Y = 0.095313, Z = -0.013356	
主轴数据: 2988	t = 40.1 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 2988	采集数据: X = 0.13812, Y = -0.021928, Z = -0.08892	
主轴数据: 3014	t = 40.2 s, 稳定, fc = NaN Hz, Xf = 0.0723, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3014	采集数据: X = 0.080583, Y = 0.024238, Z = 0.045633	
