开始记录数据...	开始记录数据...	
主轴转速: 3019	t = 3557.5 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.040215, Y = -0.022354, Z = 0.16733	
主轴转速: 3005	t = 3557.6 s, 稳定, fc = NaN Hz, Xf = 0.0289, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.020671, Y = 0.043484, Z = -0.21683	
主轴转速: 3005	t = 3557.7 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.046121, Y = 0.032764, Z = -0.083557	
主轴转速: 3016	t = 3557.8 s, 稳定, fc = NaN Hz, Xf = 0.0281, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.027064, Y = 0.062425, Z = -0.20336	
主轴转速: 3012	t = 3557.9 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.046304, Y = 0.024299, Z = -0.18569	
主轴转速: 3012	t = 3558.0 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.017018, Y = -0.0027429, Z = 0.23826	
主轴转速: 3002	t = 3558.1 s, 稳定, fc = NaN Hz, Xf = 0.0290, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.036927, Y = 0.0085244, Z = 0.1151	
主轴转速: 3002	t = 3558.2 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.031265, Y = 0.034652, Z = -0.20074	
主轴转速: 3012	t = 3558.3 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.076077, Y = 0.032764, Z = -0.021278	
主轴转速: 3012	t = 3558.4 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.027185, Y = 0.047199, Z = -0.16936	
主轴转速: 3019	t = 3558.5 s, 稳定, fc = NaN Hz, Xf = 0.0277, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.084418, Y = 0.028745, Z = -0.20635	
主轴转速: 3019	t = 3558.6 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.00051739, Y = -0.017055, Z = 0.19963	
主轴转速: 2998	t = 3558.7 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.033518, Y = 0.0045048, Z = 0.072081	
主轴转速: 2998	t = 3558.8 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.023593, Y = 0.043666, Z = -0.16948	
主轴转速: 3002	t = 3558.9 s, 稳定, fc = NaN Hz, Xf = 0.0280, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.0042926, Y = 0.067723, Z = -0.023959	
主轴转速: 2995	t = 3559.0 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0007 s	
	采集数据: X = 0.00015236, Y = 0.04324, Z = -0.21384	
主轴转速: 2995	t = 3559.1 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = -0.068588, Y = -0.021014, Z = -0.17369	
主轴转速: 2991	t = 3559.2 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.022254, Y = 0.0062101, Z = 0.20072	
主轴转速: 2991	t = 3559.3 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.055985, Y = 0.012483, Z = -0.0071398	
主轴转速: 3002	t = 3559.4 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.043686, Y = 0.045067, Z = -0.19331	
主轴转速: 3002	t = 3559.5 s, 稳定, fc = NaN Hz, Xf = 0.0281, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.052636, Y = 0.071073, Z = -0.13225	
主轴转速: 3014	t = 3559.6 s, 稳定, fc = NaN Hz, Xf = 0.0278, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.011294, Y = 0.023202, Z = -0.23907	
主轴转速: 3009	t = 3559.7 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.09416, Y = 0.032277, Z = 0.089631	
主轴转速: 3009	t = 3559.8 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.025481, Y = 0.0063928, Z = 0.16513	
主轴转速: 3016	t = 3559.9 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0007 s	
	采集数据: X = 0.019636, Y = 0.038977, Z = -0.13359	
主轴转速: 3016	t = 3560.0 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.056715, Y = 0.049574, Z = -0.087335	
主轴转速: 2995	t = 3560.1 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.0049015, Y = 0.073448, Z = -0.027798	
主轴转速: 2993	t = 3560.2 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.020123, Y = 0.018756, Z = -0.14535	
主轴转速: 2993	t = 3560.3 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.02889, Y = 0.0050529, Z = 0.11882	
主轴转速: 3019	t = 3560.4 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.053793, Y = -0.028444, Z = 0.10816	
主轴转速: 3019	t = 3560.5 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.0010045, Y = 0.049757, Z = -0.09672	
主轴转速: 3016	t = 3560.6 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.052514, Y = 0.057248, Z = 0.0088262	
主轴转速: 3016	t = 3560.7 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0049015, Y = 0.031546, Z = 0.022233	
主轴转速: 3016	t = 3560.8 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.020062, Y = 0.02844, Z = -0.23139	
主轴转速: 3016	t = 3560.9 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.018357, Y = 0.030633, Z = 0.054287	
主轴转速: 3021	t = 3561.0 s, 稳定, fc = NaN Hz, Xf = 0.0291, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = 0.046913, Y = -0.034109, Z = 0.17044	
主轴转速: 3016	t = 3561.1 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.0014307, Y = 0.02436, Z = -0.041448	
主轴转速: 3016	t = 3561.2 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.012695, Y = 0.03989, Z = 0.062635	
主轴转速: 3000	t = 3561.3 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0036837, Y = 0.03922, Z = -0.0065914	
主轴转速: 3000	t = 3561.4 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0007 s	
	采集数据: X = -0.052879, Y = 0.067297, Z = -0.22743	
主轴转速: 3016	t = 3561.5 s, 稳定, fc = NaN Hz, Xf = 0.0288, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.049165, Y = 0.030511, Z = 0.035396	
主轴转速: 3016	t = 3561.6 s, 稳定, fc = NaN Hz, Xf = 0.0288, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0053885, Y = -2.1587e-06, Z = 0.11766	
主轴转速: 3002	t = 3561.7 s, 稳定, fc = NaN Hz, Xf = 0.0280, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0003959, Y = 0.017721, Z = -0.070577	
主轴转速: 3002	t = 3561.8 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.017687, Y = 0.011265, Z = 0.1031	
主轴转速: 3012	t = 3561.9 s, 稳定, fc = NaN Hz, Xf = 0.0279, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.028282, Y = -0.0015248, Z = 0.06879	
主轴转速: 3007	t = 3562.0 s, 稳定, fc = NaN Hz, Xf = 0.0162, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.10731, Y = 0.061268, Z = -0.15224	
主轴转速: 3007	t = 3562.1 s, 稳定, fc = NaN Hz, Xf = 0.0164, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.00070033, Y = 0.024603, Z = 0.0080949	
主轴转速: 3012	t = 3562.2 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.024385, Y = 0.01967, Z = 0.096213	
主轴转速: 3012	t = 3562.3 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.044233, Y = 0.011509, Z = 0.0040729	
主轴转速: 3000	t = 3562.4 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.024811, Y = 0.01431, Z = 0.22248	
主轴转速: 3000	t = 3562.5 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.093429, Y = 0.068698, Z = -0.0037272	
主轴转速: 3019	t = 3562.6 s, 稳定, fc = NaN Hz, Xf = 0.0290, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.081922, Y = 0.061085, Z = -0.13481	
主轴转速: 3019	t = 3562.7 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.010016, Y = 0.0019468, Z = 0.11352	
主轴转速: 3007	t = 3562.8 s, 稳定, fc = NaN Hz, Xf = 0.0281, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.055619, Y = 0.0010941, Z = 0.077139	
主轴转速: 3005	t = 3562.9 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.034918, Y = -0.022659, Z = 0.21151	
主轴转速: 3005	t = 3563.0 s, 稳定, fc = NaN Hz, Xf = 0.0279, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.036623, Y = 0.0098643, Z = 0.24167	
主轴转速: 3009	t = 3563.1 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = 0.03364, Y = 0.057492, Z = -0.18112	
主轴转速: 3009	t = 3563.2 s, 稳定, fc = NaN Hz, Xf = 0.0159, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.04813, Y = 0.051279, Z = -0.14913	
主轴转速: 3007	t = 3563.3 s, 稳定, fc = NaN Hz, Xf = 0.0167, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.0080063, Y = -0.032038, Z = 0.22321	
主轴转速: 3007	t = 3563.4 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.064508, Y = -0.0011593, Z = 0.09213	
主轴转速: 3005	t = 3563.5 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.042468, Y = -0.031246, Z = 0.1747	
主轴转速: 3009	t = 3563.6 s, 稳定, fc = NaN Hz, Xf = 0.0281, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.045512, Y = 0.013884, Z = 0.20548	
主轴转速: 3009	t = 3563.7 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.038449, Y = 0.027831, Z = -0.24151	
主轴转速: 2991	t = 3563.8 s, 稳定, fc = NaN Hz, Xf = 0.0289, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.055802, Y = 0.037759, Z = -0.12262	
主轴转速: 2991	t = 3563.9 s, 稳定, fc = NaN Hz, Xf = 0.0288, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.037414, Y = 0.014249, Z = 0.20438	
主轴转速: 2998	t = 3564.0 s, 稳定, fc = NaN Hz, Xf = 0.0281, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.042102, Y = -0.013036, Z = 0.0061449	
主轴转速: 3012	t = 3564.1 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.036197, Y = -0.0086506, Z = 0.19073	
主轴转速: 3012	t = 3564.2 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.064752, Y = 0.048904, Z = 0.19335	
主轴转速: 3012	t = 3564.3 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.045086, Y = 0.044153, Z = -0.17734	
主轴转速: 3012	t = 3564.4 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.047887, Y = 0.040499, Z = -0.051625	
主轴转速: 3002	t = 3564.5 s, 稳定, fc = NaN Hz, Xf = 0.0281, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.090385, Y = -0.019187, Z = 0.19244	
主轴转速: 3002	t = 3564.6 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.031021, Y = -0.037763, Z = 0.075189	
主轴转速: 2995	t = 3564.7 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.03364, Y = 0.0021295, Z = 0.26715	
主轴转速: 2995	t = 3564.8 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.073885, Y = 0.0099861, Z = -0.017012	
主轴转速: 3005	t = 3564.9 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.013425, Y = 0.028318, Z = -0.17795	
主轴转速: 3012	t = 3565.0 s, 稳定, fc = NaN Hz, Xf = 0.0289, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.014217, Y = -0.0052399, Z = 0.16026	
主轴转速: 3012	t = 3565.1 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.060551, Y = 0.0025558, Z = 0.13357	
主轴转速: 3012	t = 3565.2 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.02816, Y = -0.01133, Z = 0.098955	
主轴转速: 3012	t = 3565.3 s, 稳定, fc = NaN Hz, Xf = 0.0279, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.012147, Y = 0.039098, Z = 0.1354	
主轴转速: 3023	t = 3565.4 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.024628, Y = 0.016259, Z = -0.11171	
主轴转速: 3023	t = 3565.5 s, 稳定, fc = NaN Hz, Xf = 0.0290, n_new = NaN rpm, pass = 0.0011 s	
	采集数据: X = -0.046182, Y = 0.064374, Z = -0.10598	
主轴转速: 3005	t = 3565.6 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.036379, Y = 0.0059665, Z = 0.10767	
主轴转速: 3005	t = 3565.7 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.019636, Y = -0.016812, Z = 0.022659	
主轴转速: 3000	t = 3565.8 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.011051, Y = -0.010965, Z = -0.0080539	
主轴转速: 3000	t = 3565.9 s, 稳定, fc = NaN Hz, Xf = 0.0277, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.035344, Y = 0.035201, Z = 0.18451	
主轴转速: 2998	t = 3566.0 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.01306, Y = 0.025151, Z = -0.054367	
主轴转速: 2998	t = 3566.1 s, 稳定, fc = NaN Hz, Xf = 0.0288, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.067187, Y = 0.052436, Z = -0.16613	
主轴转速: 3012	t = 3566.2 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.029864, Y = -0.0021947, Z = 0.074214	
主轴转速: 3019	t = 3566.3 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.047339, Y = 0.0023122, Z = -0.062229	
主轴转速: 3019	t = 3566.4 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.027185, Y = 0.019609, Z = 0.042769	
主轴转速: 3007	t = 3566.5 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.04125, Y = -0.020527, Z = 0.2527	
主轴转速: 3007	t = 3566.6 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.0038052, Y = -0.0091987, Z = -0.040473	
主轴转速: 2991	t = 3566.7 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.0083717, Y = 0.050914, Z = -0.11403	
主轴转速: 2991	t = 3566.8 s, 稳定, fc = NaN Hz, Xf = 0.0280, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.024263, Y = 0.011265, Z = 0.081039	
主轴转速: 3005	t = 3566.9 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.037049, Y = 0.016503, Z = -0.071979	
主轴转速: 3005	t = 3567.0 s, 稳定, fc = NaN Hz, Xf = 0.0157, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.029195, Y = 0.0054183, Z = -0.010004	
主轴转速: 3002	t = 3567.1 s, 稳定, fc = NaN Hz, Xf = 0.0165, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.071876, Y = -0.018395, Z = 0.097066	
主轴转速: 3002	t = 3567.2 s, 稳定, fc = NaN Hz, Xf = 0.0291, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.0077628, Y = 0.045737, Z = -0.053271	
主轴转速: 2995	t = 3567.3 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.01239, Y = -0.0029865, Z = -0.038645	
主轴转速: 3007	t = 3567.4 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.035344, Y = 0.025517, Z = 0.050569	
主轴转速: 3007	t = 3567.5 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.029316, Y = 0.0087681, Z = -0.2353	
主轴转速: 3012	t = 3567.6 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.10822, Y = -0.017055, Z = 0.046913	
主轴转速: 3012	t = 3567.7 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.024689, Y = -0.013888, Z = 0.13259	
主轴转速: 3021	t = 3567.8 s, 稳定, fc = NaN Hz, Xf = 0.0288, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.00039561, Y = 0.073327, Z = -0.21464	
主轴转速: 3021	t = 3567.9 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.018723, Y = 0.04324, Z = -0.095197	
主轴转速: 3021	t = 3568.0 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.040641, Y = 0.023385, Z = -0.073563	
主轴转速: 3021	t = 3568.1 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.041737, Y = 0.01699, Z = -0.19776	
主轴转速: 3009	t = 3568.2 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.039423, Y = -0.012244, Z = 0.18457	
主轴转速: 3019	t = 3568.3 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.039058, Y = -0.0017075, Z = 0.15337	
主轴转速: 3019	t = 3568.4 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.01787, Y = 0.047199, Z = -0.24023	
主轴转速: 3016	t = 3568.5 s, 稳定, fc = NaN Hz, Xf = 0.0281, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.04052, Y = 0.027466, Z = -0.068322	
主轴转速: 3016	t = 3568.6 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.016835, Y = 0.071134, Z = -0.20172	
主轴转速: 3000	t = 3568.7 s, 稳定, fc = NaN Hz, Xf = 0.0281, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.050931, Y = 0.017295, Z = -0.19715	
主轴转速: 3000	t = 3568.8 s, 稳定, fc = NaN Hz, Xf = 0.0281, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.020975, Y = -0.014558, Z = 0.24862	
主轴转速: 2995	t = 3568.9 s, 稳定, fc = NaN Hz, Xf = 0.0290, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.040702, Y = -0.0031692, Z = 0.062635	
主轴转速: 3016	t = 3569.0 s, 稳定, fc = NaN Hz, Xf = 0.0287, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.062378, Y = 0.042509, Z = -0.15778	
主轴转速: 3016	t = 3569.1 s, 稳定, fc = NaN Hz, Xf = 0.0280, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.064509, Y = 0.039768, Z = -0.042058	
主轴转速: 3021	t = 3569.2 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.02542, Y = 0.026674, Z = -0.2072	
主轴转速: 3021	t = 3569.3 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.10274, Y = -0.014132, Z = -0.17887	
主轴转速: 3016	t = 3569.4 s, 稳定, fc = NaN Hz, Xf = 0.0288, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.0085546, Y = -0.033987, Z = 0.18061	
主轴转速: 3016	t = 3569.5 s, 稳定, fc = NaN Hz, Xf = 0.0288, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = 0.031204, Y = 0.015894, Z = 0.078662	
主轴转速: 2995	t = 3569.6 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0007 s	
	采集数据: X = 0.037232, Y = 0.037759, Z = -0.15906	
主轴转速: 3014	t = 3569.7 s, 稳定, fc = NaN Hz, Xf = 0.0280, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.00027384, Y = 0.065105, Z = -0.042972	
主轴转速: 3014	t = 3569.8 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.030047, Y = 0.034409, Z = -0.27844	
主轴转速: 3012	t = 3569.9 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.082835, Y = 0.022654, Z = -0.059121	
主轴转速: 3012	t = 3570.0 s, 稳定, fc = NaN Hz, Xf = 0.0289, n_new = NaN rpm, pass = 0.0007 s	
	采集数据: X = 0.010746, Y = 0.0041393, Z = 0.19573	
